player_name,owner
Scottie Scheffler,Shin
Will Zalatoris,Shin
Shane Lowry,Shin
Sam Burns,Shin
Joaquin Niemann,Shin
Justin Thomas,David
Xander Schauffele,David
Sungjae Im,David
Viktor Hovland,David
Max Homa,David
Collin Morikawa,Jason
Cameron Smith,Jason
Tony Finau,Jason
Kevin Na,Jason
Kevin Kisner,Jason
Rory McIlroy,Phil
Brooks Koepka,Phil
Matt Fitzpatrick,Phil
Patrick Cantlay,Phil
Cameron Young,Phil
Jon Rahm,Song
Jordan Spieth,Song
Dustin Johnson,Song
Hideki Matsuyama,Song
Keegan Bradley,Song
